PSL | CANDIDATO | ZILTON MAXIMO DA SILVA | 20571768000122,250,0.00000008265230735417
PTB | CANDIDATO | JUCELINO DOS SANTOS | 20576923000101,233,0.00000008265230735417
PSDB | CANDIDATO | MARIA MEIRE MAIA CLEVE | 20659745000174,443,0.00000008265230735417
PSC | CANDIDATO | ARILDO OLIVEIRA MELO | 20572340000102,558,0.00000008265230735417
PSC | CANDIDATO | CARLA CRISTIANA DE CARVALHO | 20569401000174,16484,0.00000008265230735417
PSDB | CANDIDATO | MIRIAM DE JESUS FERREIRA | 20571354000101,165,0.00000008265230735417
PSL | CANDIDATO | NORBERTO MOIMAZ | 20571351000160,720,0.00000008265230735417
PSDB | CANDIDATO | MIRIAN DE GODOY BUENO SENEGAGLIA | 20573203000184,549,0.00000008265230735417
PSD | CANDIDATO | SONIA REGINA CUNHA BREIDE | 20577100000192,1023,0.00000008265230735417
PSDB | CANDIDATO | ROBSON CLEIBER DE LIMA | 20569030000120,230,0.00000008265230735374
PSC | CANDIDATO | CARLOS ANDRÉ SILVA TÁMEZ | 20568488000165,1399,0.00000008265230735331
PSL | CANDIDATO | NOEL CARLOS DE LIMA | 20572606000109,176,0.00000008265230735331
PSL | CANDIDATO | ROSIDETE DA CONSEIÇAO SERPE | 20569293000130,156,0.00000008265230735331
PSL | CANDIDATO | SOELI ALVES VAZ | 20568841000107,60,0.00000008265230735331
PSC | CANDIDATO | TANCLÉR ILDEFONSO PAVANI | 20564624000149,334,0.00000008265230735331
PSDC | CANDIDATO | TARAS KAZYMYRKO | 20581656000152,213,0.00000008265230735309
PTB | CANDIDATO | ELISIANA PAES LEITE | 20579141000118,497,0.00000008265230735309
PTB | CANDIDATO | ANTONIO BASSI | 20576313000108,87,0.00000008265230735298
PSC | CANDIDATO | JOSE APARECIDO ALVES | 20566233000163,5264,0.00000008265230735287
PTB | CANDIDATO | LUIS FELIPE DUARTE | 20576055000151,200,0.00000008265230735287
PSC | CANDIDATO | MARISA MASSA LUCAS | 20571752000110,10736,0.00000008265230735287
PSD | CANDIDATO | MOACIR GUEDES DE MOURA | 20580034000100,0,0.00000008265230735287
PSDC | CANDIDATO | GERSON BATISTA RIBEIRO | 20580722000170,195,0.00000008265230735287
PSD | CANDIDATO | IVALINO GARCIA | 20577324000102,1277,0.00000008265230735265
PT do B | CANDIDATO | FLAVIO DENI FONSECA NAKAD | 20573670000104,432,0.00000008265230735265
PSDC | CANDIDATO | GERCEO DILBERTI | 20622962000190,96,0.00000008265230735249
PP | CANDIDATO | DAGMAR PIOLI GONÇALVES | 20572750000145,218,0.00000008265230735244
PT do B | CANDIDATO | AROLDO PEREIRA DE LIMA | 20572250000103,374,0.00000008265230735244
PSC | CANDIDATO | ARAIDE LOURENÇO DOS SANTOS LIMA | 20569159000139,311,0.00000008265230735244
PSL | CANDIDATO | LUCIA DUTRA PORTO | 20573661000113,42,0.00000008265230735244
PSDB | CANDIDATO | ROGERIO MASSING | 20573363000123,3128,0.00000008265230735244
PHS | CANDIDATO | GUSTAVO CORULLI RICHA | 20569667000117,10185,0.00000008265230735244
PPS | CANDIDATO | ALCEU MALUF JUNIOR | 20578575000101,281,0.00000008265230735244
PSDC | CANDIDATO | PEDRO CONCEIÇÃO DO NASCIMENTO | 20580702000107,161,0.00000008265230735244
PSL | CANDIDATO | ANDERSON RENAN PACHECO | 20569442000160,208,0.00000008265230735244
