PMN | CANDIDATO | ARILDO ARRUDA DE OLIVEIRA | 20576106000145,1031,0.00026350461133069832
PV | CANDIDATO | BRUNA SPAGNOL | 20569861000100,200,0.00026350461133069832
PSB | CANDIDATO | BRUNO GARCIA DUTRA | 20568848000129,4025,0.00026350461133069832
PTC | CANDIDATO | CLAUDENIR RIBEIRO | 20581220000163,1461,0.00026350461133069832
PTC | CANDIDATO | CESAR BISPO SILVA | 20581168000145,308,0.00026350461133069832
PSB | CANDIDATO | CARMEN CHAVES SOARES | 20572560000128,155,0.00026350461133069832
PDT | CANDIDATO | DINARTE RODRIGUES DA SILVA | 20572401000123,609,0.00026350461133069832
PSB | CANDIDATO | RUTH DE SOUZA | 20574424000177,221,0.00026350461133069832
PMDB | CANDIDATO | JOSE ANTONIO DE MELO FILHO | 20569058000168,2440,0.00017566974088713220
PSD | CANDIDATO | SONIA REGINA WOTKOSKI | 20572702000157,730,0.00017566974088713220
PRTB | CANDIDATO | ALGACIR MILTON OZIR RIBEIRO | 20573092000106,299,0.00017566974088713220
PDT | CANDIDATO | FLAVIO VILMAR DA SILVA | 20571149000138,427,0.00017566974088713220
PSL | CANDIDATO | ALCEU FERREIRA FILHO | 20571720000114,521,0.00017566974088713220
PTB | CANDIDATO | MARIO APARECIDO DOS SANTOS | 20576594000190,1312,0.00017566974088713220
PTC | CANDIDATO | GILMAR JOSE PIRES | 20581562000183,0,0.00017566974088713220
PSL | CANDIDATO | NAIR LENZ | 20573627000149,4428,0.00017566974088713220
PPS | CANDIDATO | MARCOS SOLANO VALE | 20566445000140,2272,0.00017566974088713220
PSB | CANDIDATO | MOACY DE OLIVEIRA MONTEIRO | 20574665000116,116,0.00017566974088713220
PSDC | CANDIDATO | ADÃO MATOZO | 20580941000159,543,0.00017566974088713220
PSDC | CANDIDATO | AMAURI DE JESUS PEREIRA | 20576689000104,3581,0.00017566974088713220
PDT | CANDIDATO | SERGIO CARLOS EMPINOTTI | 20574200000165,2906,0.00017566974088713220
PSOL | CANDIDATO | ANDERSON ANDREAZZA | 20559581000103,1438,0.00017566974088713220
PPS | CANDIDATO | JESSICA HELOISE CAMARGO DE LIMA | 20564439000154,278,0.00017566974088713220
PDT | CANDIDATO | IZABELLA VANILDA DE FREITAS | 20574691000144,697,0.00017566974088713220
PMDB | CANDIDATO | VERA LUCIA BARTZ | 20572645000106,693,0.00017566974088713220
PSDC | CANDIDATO | AMADEU ALVES DE OLIVEIRA FILHO | 20576524000132,674,0.00017566974088713220
PROS | CANDIDATO | JOSÉ DE OLIVEIRA REIS NETO | 20576321000146,2459,0.00017566974088713220
PSL | CANDIDATO | VALDINEI ACIR DE PAULO | 20572370000100,1813,0.00017566974088713220
PDT | CANDIDATO | GELCINES RODECZ | 20573350000154,437,0.00017566974088713220
PC do B | CANDIDATO | CLAUDIO AUGUSTO PADILHA | 20574805000156,470,0.00017566974088713220
PSB | CANDIDATO | REGIANE MICHAKI | 20797108000164,103,0.00017566974088713220
PSD | CANDIDATO | PEDRO DOS SANTOS LIMA GUERRA | 20568881000159,32123,0.00017566974088713220
PSOL | CANDIDATO | MARCEL ACÁCIO DE JESUS CHERUBIM | 20559462000150,521,0.00017566974088713220
PSB | CANDIDATO | KATHYA MENNA BARRETO MADRUGA | 20572405000101,61,0.00017566974088713220
PSOL | CANDIDATO | GELSON FERREIRA DE SOUZA | 20559095000195,265,0.00008783487044356610
PSDC | CANDIDATO | ANDREA CARVALHO VELOSO | 20578028000118,672,0.00008783487044356610
PSDC | CANDIDATO | MARCIA CLAUDINO DOS SANTOS | 20580293000130,84,0.00008783487044356610
PSDC | CANDIDATO | JANETE DE PAULA COSTA DE ARAÚJO | 20581231000143,769,0.00008783487044356610
PRTB | CANDIDATO | DIVINO VALDIR DA CRUZ SILVA | 20571107000105,1156,0.00008783487044356610
PMDB | CANDIDATO | WILLIAN ANTUNES WENCESLAU BRAZ | 20569595000108,2741,0.00008783487044356610
PT | CANDIDATO | ANTONIO ROSNEY CARNEIRO | 20572987000126,1057,0.00008783487044356610
PEN | CANDIDATO | JOÃO JOSE DOS SANTOS | 20581768000103,1344,0.00008783487044356610
PSOL | CANDIDATO | SIRINEU ZANCHI MEDEIROS DE WITT | 20559542000106,568,0.00008783487044356610
PDT | CANDIDATO | ROGERIO UMBERTO DE ANDRADE | 20577563000154,691,0.00008783487044356610
PSOL | CANDIDATO | MARCELO PEREIRA MACHADO | 20559108000126,959,0.00008783487044356610
PTN | CANDIDATO | ILSON APARECIDO ESTEFANI | 20571365000183,664,0.00008783487044356610
PTB | CANDIDATO | OSVALDO BUSKEI | 20576110000103,707,0.00008783487044356610
PSDC | CANDIDATO | ANGELINA TOMAZ DA SILVA BRITO | 20581340000160,485,0.00008783487044356610
PRP | CANDIDATO | SIDENEI HORTA RIBAS | 20632310000136,1533,0.00008783487044356610
PSOL | CANDIDATO | NIVIA MARIA ROMERO PIVA | 20559104000148,456,0.00008783487044356610
PSDB | CANDIDATO | MÁRCIA GRACÍLIA RAMOS PEDROSO FATTORI | 20573041000184,709,0.00008783487044356610
PRTB | CANDIDATO | JOSÉ LOURENÇO GOUVEIA | 20570245000161,97,0.00008783487044356610
PEN | CANDIDATO | WILSON MARCELINO FILHO | 20581759000112,86,0.00008783487044356610
PSC | CANDIDATO | VANIL BARBARINE | 20567811000186,2218,0.00008783487044356610
PC do B | CANDIDATO | MARIA DO SOCORRO DE LISBOA | 20577788000100,133,0.00008783487044356610
PMDB | CANDIDATO | SOLANGE SILVA CUNHA | 20572003000107,109,0.00008783487044356610
PTN | CANDIDATO | GERALDINO BATISTA DO NASCIMENTO | 20604108000109,1541,0.00008783487044356610
PTN | CANDIDATO | MARIA APARECIDA DE BONFIM | 20604082000190,210,0.00008783487044356610
PSC | CANDIDATO | ROBERTA DE OLIVEIRA SOUZA DOS SANTOS | 20568171000129,444,0.00008783487044356610
PSOL | CANDIDATO | SOLANGE BARBOSA DE AMORIM DELAMURA | 20559139000187,167,0.00008783487044356610
PRTB | CANDIDATO | EDMILSON GONÇALVES DE OLIVEIRA | 20572844000114,830,0.00008783487044356610
PDT | CANDIDATO | DAVI SCHEIFER | 20572091000147,476,0.00008783487044356610
PHS | CANDIDATO | FABIO ALEXANDRE PEREIRA | 20576121000193,341,0.00008783487044356610
PTN | CANDIDATO | ORELIO FONTANA NETO | 20572164000109,504,0.00008783487044356610
PMDB | CANDIDATO | CESARIO RICARDO MARCONCIN | 20569066000104,886,0.00008783487044356610
PRB | CANDIDATO | VILMAR BORGES | 20574809000134,2047,0.00008783487044356610
PPL | CANDIDATO | MARIO JOSE DE RAUEN BACELLAR FILHO | 20570888000105,57,0.00008783487044356610
