PT do B | CANDIDATO | JORGE LUIZ DOS SANTOS | 20565528000115,6176,0.00000000000000000000
PTB | CANDIDATO | PEDRO EVANGELISTA DOS SANTOS | 20576422000117,8826,0.00000000000000000000
PTN | CANDIDATO | ILSON APARECIDO ESTEFANI | 20571365000183,664,0.00000000000000000000
PDT | CANDIDATO | VALDEMIR JOSE DE OLIVEIRA | 20574538000117,634,0.00000000000000000000
PTB | CANDIDATO | OSVALDO BUSKEI | 20576110000103,707,0.00000000000000000000
PV | CANDIDATO | NATANAEL DE FREITAS JUNIOR | 20569546000175,600,0.00000000000000000000
PSD | CANDIDATO | EDONY ANTONIO KLUBER | 20571399000178,10215,0.00000000000000000000
PSB | CANDIDATO | LUCIANO MARCELO SIMÕES DE BRITO | 20574801000178,7710,0.00000000000000000000
PSDC | CANDIDATO | ANGELINA TOMAZ DA SILVA BRITO | 20581340000160,485,0.00000000000000000000
PTN | CANDIDATO | CHRISTIANE DE SOUZA YARED | 20572117000157,200144,0.00000000000000000000
PV | CANDIDATO | JOSE TUROZI | 20570430000156,13190,0.00000000000000000000
PSDB | CANDIDATO | LUIZ FELIPE GUBERT BRAGA CORTES | 20572404000167,23119,0.00000000000000000000
PTB | CANDIDATO | JOSE RENATO STRAPASSON | 20576457000156,28395,0.00000000000000000000
PHS | CANDIDATO | NILSON LEANDRO DE SOUSA | 20576395000182,1498,0.00000000000000000000
SD | CANDIDATO | ELIANE DE FÁTIMA SCHIEBEL | 20572895000146,531,0.00000000000000000000
PMDB | CANDIDATO | SERGIO DE SOUZA | 20573058000131,77699,0.00000000000000000000
PTB | CANDIDATO | ROSANGELA FERNANDES PESSOA | 20577002000155,192,0.00000000000000000000
PSOL | CANDIDATO | ANDERSON ANDREAZZA | 20559581000103,1438,0.00000000000000000000
PRP | CANDIDATO | SIDENEI HORTA RIBAS | 20632310000136,1533,0.00000000000000000000
PDT | CANDIDATO | PAULO LEONAR FERREIRA AMADOR | 20573983000162,5146,0.00000000000000000000
PR | CANDIDATO | GASTAO SCHEFER NETO | 20568108000192,23239,0.00000000000000000000
PMDB | CANDIDATO | HERMES PARCIANELLO | 20571389000132,150213,0.00000000000000000000
PSC | CANDIDATO | PAULO SERGIO VIEIRA | 20786476000107,0,0.00000000000000000000
