PTN | CANDIDATO | NERI TAVARES DA SILVA | 20576511000163,247,0.00341625354783278018
PTN | CANDIDATO | ANTONIO NEGRÃO | 20576614000123,790,0.00341625354783277844
PTN | CANDIDATO | LAURO DE OLIVEIRA JOANICO | 20614281000180,106,0.00341625354783277844
PTN | CANDIDATO | SACHA BOUCHRA GEORGES ABOU SARHAL | 20576049000102,135,0.00341625354783277498
PTN | CANDIDATO | ORELIO FONTANA NETO | 20572164000109,504,0.00340358642168982119
PT | CANDIDATO | ULISSES KANIAK | 20573082000170,3970,0.00337183230079654041
PC do B | CANDIDATO | MARIA DO SOCORRO DE LISBOA | 20577788000100,133,0.00329192703129768498
PDT | CANDIDATO | PRISCILA RITA ROCHA BANASZEWSKI | 20574054000178,313,0.00306670524679132986
PDT | CANDIDATO | NELSON LAURO LUERSEN | 20576592000100,37316,0.00293582216899836157
PRB | CANDIDATO | NIVON CARLOS DO NASCIMENTO | 20576479000116,557,0.00281491692065735308
PTN | CANDIDATO | CÂNDIDO DE MATOS GOMES | 20604091000181,1041,0.00281491692065734961
PDT | CANDIDATO | EDSON WILLIANS | 20576712000160,377,0.00278032409838884463
PDT | CANDIDATO | JOAQUIM DONIZETI DO CARMO | 20576421000172,2742,0.00276692485917575878
PC do B | CANDIDATO | COSME SENA RAMOS | 20642924000107,163,0.00263664813241065200
PDT | CANDIDATO | JOSE CASTORINO MACHADO FILHO | 20576578000106,166,0.00259927296558524427
PRB | CANDIDATO | ALEXANDRE PANZARINI FILHO | 20574626000119,549,0.00256279934397491208
PC do B | CANDIDATO | CELIO LEANDRO RODRIGUES | 20576961000156,0,0.00251152021039353392
PDT | CANDIDATO | MARLY PAULINO FAGUNDES | 20576749000199,34293,0.00234069817331364338
PT | CANDIDATO | TANIA FATIMA CALVI TAIT | 20576537000101,891,0.00233777331732066239
PT | CANDIDATO | ROSA MARIA DE JESUS COLOMBO | 20577703000194,29725,0.00231551761435473420
PC do B | CANDIDATO | CLAUDIO AUGUSTO PADILHA | 20574805000156,470,0.00222891903976982957
PC do B | CANDIDATO | CLAUDIO CESAR CASAGRANDE | 20576962000109,4840,0.00206388583560568545
PRB | CANDIDATO | VILMAR BORGES | 20574809000134,2047,0.00204721230593262263
PDT | CANDIDATO | GELCINES RODECZ | 20573350000154,437,0.00202851696451043610
PT | CANDIDATO | JOSÉ CARLOS OLIVEIRA | 20571947000160,719,0.00202408370989550987
PDT | CANDIDATO | DIOMAR FRANCISCO DA SILVA | 20571000000159,200,0.00186390442350090405
PT | CANDIDATO | ANDRÉ DE SOUZA VIEIRA | 20570988000131,1851,0.00185520652178684971
PDT | CANDIDATO | MARIA NYSA MOREIRA NANNI | 20576312000155,1651,0.00181971704340751217
PC do B | CANDIDATO | CELIA REGINA PIONTKIEVICZ RODRIGUES DA SILVA | 20577973000103,602,0.00173770256149302898
PDT | CANDIDATO | VALDEMIR JOSE DE OLIVEIRA | 20574538000117,634,0.00173770256149302811
PT | CANDIDATO | JOÃO NORBERTO DE SOUZA | 20576493000110,1967,0.00171828689041489922
PDT | CANDIDATO | DINARTE RODRIGUES DA SILVA | 20572401000123,609,0.00153238183984175276
PDT | CANDIDATO | FLAVIO VILMAR DA SILVA | 20571149000138,427,0.00144646749532101370
PT | CANDIDATO | DIEMERSON ROMERO CASTILHO | 20576942000120,3514,0.00119720244264686151
PDT | CANDIDATO | DANIEL ALBERTO CORREA | 20576912000113,56,0.00116494026468806633
PDT | CANDIDATO | SERGIO CARLOS EMPINOTTI | 20574200000165,2906,0.00116494026468806373
PDT | CANDIDATO | IZABELLA VANILDA DE FREITAS | 20574691000144,697,0.00116494026468806199
PDT | CANDIDATO | PAULO LEONAR FERREIRA AMADOR | 20573983000162,5146,0.00116123557066841708
PT | CANDIDATO | ALECSANDRO DE ANDRADE CAVALCANTE | 20576080000135,0,0.00089832354225429477
PDT | CANDIDATO | BIANCA TIBAES DE OLIVEIRA PORTUGAL | 20576183000103,460,0.00085914344520744527
PMDB | CANDIDATO | JONAS GUIMARÃES | 20570441000136,40139,0.00072257079399514618
PDT | CANDIDATO | JURANDIR JURA PINTO ROSA | 20576713000105,564,0.00057300609362209015
PPL | CANDIDATO | MARCIO JOSE PACHECO RAMOS | 20569035000153,24855,0.00034466671042192656
