PSDB | CANDIDATO | VALDIR LUIZ ROSSONI | 20570744000159,177324,0.00008783487044356610
PSOL | CANDIDATO | GELSON FERREIRA DE SOUZA | 20559095000195,265,0.00008783487044356610
PSOL | CANDIDATO | XÊNIA KAROLINE MELLO | 20559153000180,2399,0.00008783487044356610
PSOL | CANDIDATO | VINÍCIUS PRADO ALVES | 20559089000138,946,0.00008783487044356610
PTB | CANDIDATO | JOSÉ DO CARMO GARCIA | 20576335000160,24261,0.00008783487044356610
PSOL | CANDIDATO | BERNARDO SEIXAS PILOTTO | 20559154000125,35327,0.00008783487044356610
PSOL | CANDIDATO | CARLOS GOMES DE MATTOS | 20559446000168,131,0.00008783487044356610
PPS | CANDIDATO | PAULO ROBERTO RINK | 20573187000120,19307,0.00008783487044356610
PT | CANDIDATO | ANTENOR GOMES DE LIMA | 20572703000100,43608,0.00008783487044356610
PSB | CANDIDATO | WILSON LUIZ DARIENZO QUINTEIRO | 20573194000121,41195,0.00008783487044356610
PSC | CANDIDATO | ANTONIO BENEDITO FENELON | 20566874000118,22929,0.00008783487044356610
PRP | CANDIDATO | OGIER ALBERGE BUCHI | 20576334000115,50446,0.00008783487044356610
PSDC | CANDIDATO | AGENOR DA SILVA PEREIRA | 20577025000160,7746,0.00008783487044356610
PSC | CANDIDATO | WAGNER FERNANDES PINHEIRO | 20572321000178,2386,0.00000000000000000000
PTC | CANDIDATO | CLAUDENIR RIBEIRO | 20581220000163,1461,0.00000000000000000000
PT | CANDIDATO | DIEMERSON ROMERO CASTILHO | 20576942000120,3514,0.00000000000000000000
PV | CANDIDATO | HOMERO FIGUEIREDO LIMA E MARCHESE | 20569371000104,12658,0.00000000000000000000
SD | CANDIDATO | JECE DE MORAIS | 20578723000180,542,0.00000000000000000000
PSL | CANDIDATO | PEDRO APARECIDO DOMINGOS | 20572399000192,447,0.00000000000000000000
PSB | CANDIDATO | MARIA CIRLEIDE DA SILVA | 20574245000130,578,0.00000000000000000000
PSB | CANDIDATO | JOSÉ CARLOS CAMARGO | 20574566000134,9546,0.00000000000000000000
PMDB | CANDIDATO | LIGIA FABRIS BERG | 20573295000100,172,0.00000000000000000000
