PDT | CANDIDATO | ELOIZIO ZANARDI | 20660926000110,258,0.00409231240940046478
PTN | CANDIDATO | WANDERLEI JEOVAI DA SILVA | 20576809000173,2975,0.00386613533774484959
PRB | CANDIDATO | MARLI VOGT VERNER | 20574618000172,0,0.00384632657237916247
PRB | CANDIDATO | ALGACIR MIKALOVSKI | 20576968000178,4398,0.00380201551487834065
PDT | CANDIDATO | ROSELI BANDEIRA DE ASSIS CAVALLI | 20577869000100,7358,0.00378436051623650760
PT | CANDIDATO | ROBERTO FERNANDES DA SILVA | 20576857000161,1359,0.00374279106482533703
PT | CANDIDATO | ANTONIO ROSNEY CARNEIRO | 20572987000126,1057,0.00357045762409732154
PC do B | CANDIDATO | RAFAELA MASCARENHAS ROCHA | 20576204000182,211,0.00349521344575128923
PTN | CANDIDATO | OSCAR MOREIRA | 20605161000116,0,0.00346835240879695772
PTN | CANDIDATO | ILSON APARECIDO ESTEFANI | 20571365000183,664,0.00341668274239488286
PTN | CANDIDATO | DIRCEU RAMOS | 20604121000150,462,0.00341668274239488286
PTN | CANDIDATO | MARLENE ANTUNES CASAGRANDE MORAIS | 20576093000104,508,0.00341668274239488286
PTN | CANDIDATO | ALCENI VIEIRA DOS SANTOS | 20576891000136,622,0.00341668274239488199
PTN | CANDIDATO | LUIZ CAMARA RAMOS | 20576692000128,94,0.00341668274239488113
PTN | CANDIDATO | SACHA BOUCHRA GEORGES ABOU SARHAL | 20576049000102,135,0.00341668274239488113
PTN | CANDIDATO | SÉRGIO COSTA XAVIER | 20614217000107,96,0.00341668274239488113
PTN | CANDIDATO | MARI LILIAN DA CRUZ | 20604156000199,225,0.00341668274239488113
PTN | CANDIDATO | ANDREIA CRISTINA DA SILVA ALVES | 20576166000168,148,0.00341668274239488026
PTN | CANDIDATO | ELISEU RIBEIRO DA SILVA | 20577039000183,1264,0.00341668274239488026
PTN | CANDIDATO | ANTONIO NEGRÃO | 20576614000123,790,0.00341668274239488026
PTN | CANDIDATO | NERI TAVARES DA SILVA | 20576511000163,247,0.00341668274239488026
PTN | CANDIDATO | PAULO CESAR CHAVES FERREIRA | 20604100000134,444,0.00341668274239488026
PTN | CANDIDATO | MARCOS MANOEL DA SILVA | 20579620000134,506,0.00341668274239488026
PTN | CANDIDATO | EZAIAS JONATAS LEMOS | 20604155000144,506,0.00341668274239487983
PTN | CANDIDATO | MARIA APARECIDA DE BONFIM | 20604082000190,210,0.00341668274239487939
PTN | CANDIDATO | THATIANA BANNACH | 20604087000113,3,0.00341668274239487939
PTN | CANDIDATO | SIMONE ANTUNES SIMÕES | 20637451000141,157,0.00341668274239487939
PTN | CANDIDATO | IVONE DE JESUS SOARES | 20632379000160,76,0.00341668274239487939
PTN | CANDIDATO | APARECIDO NUNES FLORENCIO | 20604086000179,327,0.00341668274239487766
PTN | CANDIDATO | SANDRA BERTIPAGLIA | 20604139000151,656,0.00341668274239487722
PTN | CANDIDATO | ANA DELANE SZMIDT | 20576916000100,104,0.00341668274239487679
